State,Date,# COVID Tweets,# Twitter Users
Arizona,2020-05-11,6716,3559
Arizona,2020-05-12,7287,3691
Arizona,2020-05-13,6561,3372
Arizona,2020-05-14,6923,3633
Arizona,2020-05-15,6044,3184
Arizona,2020-05-16,4581,2396
Arizona,2020-05-17,4873,2502
Arizona,2020-05-18,5909,3089
Arizona,2020-05-19,6864,3565
Arizona,2020-05-20,6640,3503
Arizona,2020-05-21,5835,3057
Arizona,2020-05-22,4429,2422
Arizona,2020-05-23,3829,2091
Arizona,2020-05-24,3875,2180
Arizona,2020-05-25,3879,2168
Arizona,2020-05-26,4844,2819
Arizona,2020-05-27,4633,2539
Arizona,2020-05-28,5452,2961
Arizona,2020-05-29,4492,2777
Arizona,2020-05-30,3235,1983
Arizona,2020-05-31,2903,2042
Arizona,2020-06-01,3725,2638
Arizona,2020-06-02,3840,2632
Arizona,2020-06-03,3701,2294
Arizona,2020-06-04,4656,3044
Arizona,2020-06-05,3863,2492
Arizona,2020-06-06,3393,2242
Arizona,2020-06-07,2920,2065
Arizona,2020-06-08,3758,2324
Arizona,2020-06-10,4988,3081
Arizona,2020-06-11,5300,2961
Arizona,2020-06-12,6134,3405
Arizona,2020-06-13,4586,2896
Arizona,2020-06-14,4078,2577
Arizona,2020-06-15,7768,4910
Arizona,2020-06-16,7164,4079
Arizona,2020-06-17,9244,4744
Arizona,2020-06-18,7314,4619
Arizona,2020-06-19,6726,4215
Arizona,2020-06-22,6461,3781
Arizona,2020-06-23,7700,4293
Arizona,2020-06-24,6885,3938
Arizona,2020-06-25,7070,3703
Arizona,2020-06-26,7389,3849
Arizona,2020-06-27,6169,3161
Arizona,2020-06-29,6306,3673
Arizona,2020-06-30,6298,3541
Arizona,2020-07-01,7335,3973
Arizona,2020-07-02,8091,4174
Arizona,2020-07-03,7359,3720
Arizona,2020-07-04,5115,2861
Arizona,2020-07-05,4502,2509
Arizona,2020-07-06,7071,3806
Arizona,2020-07-07,7242,3671
Arizona,2020-07-08,7271,3807
Arizona,2020-07-09,7875,4169
Arizona,2020-07-10,7071,3876
Arizona,2020-07-11,6199,3645
Arizona,2020-07-12,5230,2895
Arizona,2020-07-13,7273,3656
Arizona,2020-07-14,6915,3364
Arizona,2020-07-15,6772,3690
Arizona,2020-07-16,8297,4151
Arizona,2020-07-17,7289,3865
Arizona,2020-07-18,4939,2947
Arizona,2020-07-19,4138,2326
Arizona,2020-07-20,5192,2861
Arizona,2020-07-21,5050,2755
Arizona,2020-07-22,4887,2789
Arizona,2020-07-23,4551,2555
Arizona,2020-07-24,4547,2443
Arizona,2020-07-25,4655,2853
Arizona,2020-07-26,3892,2329
Arizona,2020-07-27,5096,2924
Arizona,2020-07-28,6790,3426
Arizona,2020-07-29,5389,2844
Arizona,2020-07-30,6816,3605
Arizona,2020-07-31,5403,3023
Arizona,2020-08-01,4046,2263
Arizona,2020-08-02,4040,2177
Arizona,2020-08-03,4460,2425
Arizona,2020-08-04,4074,2271
Arizona,2020-08-05,4394,2484
Arizona,2020-08-06,4895,2699
Arizona,2020-08-07,4661,2673
Arizona,2020-08-08,2903,1781
Arizona,2020-08-09,3344,1993
Arizona,2020-08-10,4075,2401
Arizona,2020-08-11,4158,2362
Arizona,2020-08-12,3186,1926
Arizona,2020-08-13,3528,2051
Arizona,2020-08-14,3267,1934
Arizona,2020-08-15,2568,1533
Arizona,2020-08-16,2265,1379
Arizona,2020-08-17,2819,1730
Arkansas,2020-03-01,0,0
Arkansas,2020-03-02,0,0
Arkansas,2020-03-03,0,0
Arkansas,2020-03-04,0,0
Arkansas,2020-03-05,0,0
Arkansas,2020-03-06,0,0
Arkansas,2020-03-07,0,0
Arkansas,2020-03-08,0,0
Arkansas,2020-03-09,0,0
Arkansas,2020-03-10,0,0
Arkansas,2020-03-11,0,0
Arkansas,2020-03-12,137,116
Arkansas,2020-03-13,1599,1048
Arkansas,2020-03-14,1389,931
Arkansas,2020-03-15,1395,922
Arkansas,2020-03-16,1422,939
Arkansas,2020-03-17,1396,962
Arkansas,2020-03-18,1461,1000
Arkansas,2020-03-19,1601,1114
Arkansas,2020-03-20,1476,976
Arkansas,2020-03-21,1143,801
Arkansas,2020-03-22,1297,861
Arkansas,2020-03-23,1362,836
Arkansas,2020-03-24,1401,844
Arkansas,2020-03-25,1409,857
Arkansas,2020-03-26,814,540
Arkansas,2020-03-27,1353,819
Arkansas,2020-03-28,1213,730
Arkansas,2020-03-29,1309,822
Arkansas,2020-03-30,950,635
Arkansas,2020-03-31,1576,922
Arkansas,2020-04-01,1461,854
Arkansas,2020-04-02,1526,911
Arkansas,2020-04-03,1417,817
Arkansas,2020-04-04,1519,844
Arkansas,2020-04-05,1380,705
Arkansas,2020-04-06,1520,866
Arkansas,2020-04-07,1566,873
Arkansas,2020-04-08,1711,937
Arkansas,2020-04-09,1665,911
Arkansas,2020-04-10,1643,914
Arkansas,2020-04-11,1399,784
Arkansas,2020-04-12,1093,619
Arkansas,2020-04-13,1272,692
Arkansas,2020-04-14,1409,779
Arkansas,2020-04-15,1512,780
Arkansas,2020-04-16,1441,784
Arkansas,2020-04-17,1486,799
Arkansas,2020-04-18,1079,620
Arkansas,2020-04-19,1210,601
Arkansas,2020-04-20,1225,674
Arkansas,2020-04-21,1196,639
Arkansas,2020-04-22,1552,762
Arkansas,2020-04-23,1480,727
Arkansas,2020-04-24,1489,758
Arkansas,2020-04-25,1045,534
Arkansas,2020-04-26,817,449
Arkansas,2020-04-27,1249,649
Arkansas,2020-04-28,1252,624
Arkansas,2020-04-29,1388,715
Arkansas,2020-04-30,1197,605
Arkansas,2020-05-01,1086,618
Arkansas,2020-05-02,850,468
Arkansas,2020-05-03,762,420
Arkansas,2020-05-04,1158,615
Arkansas,2020-05-05,1229,636
Arkansas,2020-05-06,1211,621
Arkansas,2020-05-07,1063,583
Arkansas,2020-05-08,1097,599
Arkansas,2020-05-09,859,457
Arkansas,2020-05-10,798,425
Arkansas,2020-05-11,1152,612
Arkansas,2020-05-12,1234,653
Arkansas,2020-05-13,1143,596
Arkansas,2020-05-14,1249,663
Arkansas,2020-05-15,1143,624
Arkansas,2020-05-16,768,416
Arkansas,2020-05-17,740,379
Arkansas,2020-05-18,1084,545
Arkansas,2020-05-19,1149,650
Arkansas,2020-05-20,1218,665
Arkansas,2020-05-21,1106,601
Arkansas,2020-05-22,831,472
Arkansas,2020-05-23,730,408
Arkansas,2020-05-24,731,425
Arkansas,2020-05-25,663,393
Arkansas,2020-05-26,967,549
Arkansas,2020-05-27,865,500
Arkansas,2020-05-28,1018,539
Arkansas,2020-05-29,871,533
Arkansas,2020-05-30,547,334
Arkansas,2020-05-31,422,281
Arkansas,2020-06-01,706,445
Arkansas,2020-06-02,694,431
Arkansas,2020-06-03,585,378
Arkansas,2020-06-04,799,503
Arkansas,2020-06-05,626,385
Arkansas,2020-06-06,431,312
Arkansas,2020-06-07,392,275
Arkansas,2020-06-08,703,395
Arkansas,2020-06-10,834,505
Arkansas,2020-06-11,881,544
Arkansas,2020-06-12,1143,622
Arkansas,2020-06-13,698,417
Arkansas,2020-06-14,541,356
Arkansas,2020-06-15,818,459
Arkansas,2020-06-16,931,504
Arkansas,2020-06-17,995,566
Arkansas,2020-06-18,955,578
Arkansas,2020-06-19,1022,621
Arkansas,2020-06-22,969,574
Arkansas,2020-06-23,1043,607
Arkansas,2020-06-24,1109,656
Arkansas,2020-06-25,1165,653
Arkansas,2020-06-26,1332,736
Arkansas,2020-06-27,765,473
Arkansas,2020-06-29,898,542
Arkansas,2020-06-30,984,592
Arkansas,2020-07-01,904,574
Arkansas,2020-07-02,1347,703
Arkansas,2020-07-03,1079,623
Arkansas,2020-07-04,677,403
Arkansas,2020-07-05,597,362
Arkansas,2020-07-06,1076,600
Arkansas,2020-07-07,1241,730
Arkansas,2020-07-08,1096,633
Arkansas,2020-07-09,1083,629
Arkansas,2020-07-10,880,523
Arkansas,2020-07-11,938,581
Arkansas,2020-07-12,820,493
Arkansas,2020-07-13,1462,804
Arkansas,2020-07-14,1063,594
Arkansas,2020-07-15,1285,729
Arkansas,2020-07-16,1501,859
Arkansas,2020-07-17,1172,672
Arkansas,2020-07-18,659,402
Arkansas,2020-07-19,596,356
Arkansas,2020-07-20,1118,641
Arkansas,2020-07-21,873,517
Arkansas,2020-07-22,907,524
Arkansas,2020-07-23,789,482
Arkansas,2020-07-24,927,496
Arkansas,2020-07-25,816,514
Arkansas,2020-07-26,779,443
Arkansas,2020-07-27,943,575
Arkansas,2020-07-28,1162,616
Arkansas,2020-07-29,1077,616
Arkansas,2020-07-30,1205,672
Arkansas,2020-07-31,1075,645
Arkansas,2020-08-01,659,371
Arkansas,2020-08-02,583,351
Arkansas,2020-08-03,839,442
Arkansas,2020-08-04,746,388
Arkansas,2020-08-05,885,497
Arkansas,2020-08-06,825,476
Arkansas,2020-08-07,810,491
Arkansas,2020-08-08,616,308
Arkansas,2020-08-09,612,360
Arkansas,2020-08-10,825,468
Arkansas,2020-08-11,827,477
Arkansas,2020-08-12,565,378
Arkansas,2020-08-13,613,380
Arkansas,2020-08-14,578,375
Arkansas,2020-08-15,494,321
Arkansas,2020-08-16,403,261
Arkansas,2020-08-17,573,351
California,2020-03-01,0,0
California,2020-03-02,0,0
California,2020-03-03,0,0
California,2020-03-04,0,0
California,2020-03-05,0,0
California,2020-03-06,0,0
California,2020-03-07,0,0
California,2020-03-08,0,0
California,2020-03-09,0,0
California,2020-03-10,0,0
California,2020-03-11,0,0
California,2020-03-12,7387,6117
California,2020-03-13,72458,45365
California,2020-03-14,70763,45406
California,2020-03-15,66566,39843
California,2020-03-16,68892,44165
California,2020-03-17,72808,46392
California,2020-03-18,66042,42855
California,2020-03-19,65066,42788
California,2020-03-20,72594,46705
California,2020-03-21,55119,35680
California,2020-03-22,55640,34267
California,2020-03-23,62424,38502
California,2020-03-24,58774,35424
California,2020-03-25,59399,35488
California,2020-03-26,33588,21318
California,2020-03-27,60679,35452
California,2020-03-28,54637,32065
California,2020-03-29,53022,30065
California,2020-03-30,35334,23052
California,2020-03-31,59594,35965
California,2020-04-01,61059,36128
California,2020-04-02,61816,35871
California,2020-04-03,58785,33690
California,2020-04-04,55890,30777
California,2020-04-05,52657,27786
California,2020-04-06,58561,32676
California,2020-04-07,64321,36346
California,2020-04-08,64306,36007
California,2020-04-09,59386,32528
California,2020-04-10,61057,32722
California,2020-04-11,51600,28215
California,2020-04-12,47998,26612
California,2020-04-13,49551,26797
California,2020-04-14,60334,34259
California,2020-04-15,60457,33435
California,2020-04-16,57819,31890
California,2020-04-17,54730,30018
California,2020-04-18,55021,29408
California,2020-04-19,49211,25451
California,2020-04-20,51949,27667
California,2020-04-21,45911,25219
California,2020-04-22,57181,30118
California,2020-04-23,53649,29186
California,2020-04-24,56151,30415
California,2020-04-25,45910,24855
California,2020-04-26,39097,21485
California,2020-04-27,46602,25477
California,2020-04-28,53491,29518
California,2020-04-29,51582,28516
California,2020-04-30,50077,27943
California,2020-05-01,46528,26612
California,2020-05-02,37955,21748
California,2020-05-03,32731,18037
California,2020-05-04,43756,24136
California,2020-05-05,49658,25522
California,2020-05-06,46628,24942
California,2020-05-07,45093,24821
California,2020-05-08,42373,23696
California,2020-05-09,37667,20188
California,2020-05-10,33785,18116
California,2020-05-11,48743,27252
California,2020-05-12,46314,26701
California,2020-05-13,41690,23382
California,2020-05-14,44907,25521
California,2020-05-15,42063,24400
California,2020-05-16,29658,16384
California,2020-05-17,31399,17144
California,2020-05-18,42228,23872
California,2020-05-19,47679,27644
California,2020-05-20,47489,27890
California,2020-05-21,42715,24659
California,2020-05-22,30201,18082
California,2020-05-23,26376,15450
California,2020-05-24,28217,17264
California,2020-05-25,28096,17076
California,2020-05-26,33401,20962
California,2020-05-27,30834,18552
California,2020-05-28,36186,22003
California,2020-05-29,32988,20903
California,2020-05-30,21400,13473
California,2020-05-31,23688,17070
California,2020-06-01,29252,21632
California,2020-06-02,28555,21845
California,2020-06-03,23162,15506
California,2020-06-04,31910,22614
California,2020-06-05,25665,18209
California,2020-06-06,21597,15459
California,2020-06-07,20314,15259
California,2020-06-08,23172,15481
California,2020-06-10,29383,20174
California,2020-06-11,26374,17413
California,2020-06-12,31905,20575
California,2020-06-13,25232,17041
California,2020-06-14,23363,16089
California,2020-06-15,32665,20967
California,2020-06-16,31458,19679
California,2020-06-17,34189,21151
California,2020-06-18,36265,24456
California,2020-06-19,32919,21878
California,2020-06-22,37914,24770
California,2020-06-23,42334,26982
California,2020-06-24,42693,26849
California,2020-06-25,43108,26105
California,2020-06-26,41222,24745
California,2020-06-27,32250,19544
California,2020-06-29,38483,24736
California,2020-06-30,38286,23756
California,2020-07-01,45339,28459
California,2020-07-02,49742,29475
California,2020-07-03,38353,22854
California,2020-07-04,31131,19153
California,2020-07-05,24758,15117
California,2020-07-06,40709,23906
California,2020-07-07,37557,22017
California,2020-07-08,39054,23230
California,2020-07-09,39046,24589
California,2020-07-10,34364,21896
California,2020-07-11,36578,24036
California,2020-07-12,31331,18769
California,2020-07-13,53945,32061
California,2020-07-14,42525,24239
California,2020-07-15,42995,26329
California,2020-07-16,47841,27994
California,2020-07-17,40891,24643
California,2020-07-18,28770,18849
California,2020-07-19,24047,14970
California,2020-07-20,30903,19128
California,2020-07-21,28670,17500
California,2020-07-22,28478,17919
California,2020-07-23,27598,16780
California,2020-07-24,29699,18016
California,2020-07-25,32899,22174
California,2020-07-26,23383,15318
California,2020-07-27,31611,19526
California,2020-07-28,37899,21627
California,2020-07-29,32346,18775
California,2020-07-30,42444,26116
California,2020-07-31,33647,20848
California,2020-08-01,22668,13629
California,2020-08-02,22226,13048
California,2020-08-03,26387,15315
California,2020-08-04,24506,14560
California,2020-08-05,26274,15881
California,2020-08-06,28129,17069
California,2020-08-07,26224,16514
California,2020-08-08,18180,11867
California,2020-08-09,20725,13436
California,2020-08-10,23365,14602
California,2020-08-11,23409,14516
California,2020-08-12,19079,12149
California,2020-08-13,20183,12311
California,2020-08-14,18578,11809
California,2020-08-15,15334,9635
California,2020-08-16,13191,8186
California,2020-08-17,17358,11118
Colorado,2020-03-01,0,0
Colorado,2020-03-02,0,0
